OPENADMET_LOGAC50_cyp2j2,OPENADMET_LOGAC50_cyp3a4,OPENADMET_LOGAC50_cyp1a2,OPENADMET_LOGAC50_pxr,OPENADMET_LOGAC50_cyp2d6,OPENADMET_LOGAC50_cyp2c9,OPENADMET_LOGAC50_ahr
,,,,,7.9,
,5.914999999999999,,,,,
,,,,5.52,,
,4.4,4.85,,,6.05,
,6.005,,,5.37,6.0,
,5.89,,,,,
,,5.92,,,,
,5.0,5.2,,5.1,,
,,5.7,,6.2,4.9,
,,6.45,,,,
,6.38,,,5.89,6.73,
,4.38,,,,,
,4.64,,5.08,4.76,4.37,
,,5.39,,,,
,5.5,,,5.6,6.0,
,5.599999999999999,5.1,,,4.4,
,6.47,,,,,
,,5.35,,,5.45,
,,4.9,,,,
,,,,,,5.33
,5.12,,,,,
,4.6,4.75,,5.65,5.05,
,,5.2,,,6.45,
,,,,,,4.0
,6.57,,,,,
,4.85,4.85,,,4.9,
,,,,7.6,,
,,,,6.3,,
,,5.2,,,,
,4.9,4.8,,,8.25,
,,4.9,,5.95,,
,5.11,5.36,,,,
,4.02,,,4.51,,
,4.21,,,,5.0,
,,,,4.7,,
,5.0,5.9,,,5.9,
,4.8500000000000005,5.9,,4.75,,
,5.36,,,,,
,4.92,,,,4.96,
,6.51,,,,,
,,,,5.5,5.4,
,6.1,5.95,,5.7,5.3,
,5.400000000000001,5.3,,5.4,5.3,
,6.7,,,,,
,6.8,,,6.7,,
,5.34,,,,,
,,4.5,,,,
,5.7,,,,4.75,
,,,,5.4,,
,5.35,4.75,,,4.95,
,5.45,,,,,
,,,,5.6,,
,,4.7,,,,
,5.4,,,,,
,,6.15,,,,
,6.16,,,,,
,5.1,6.4,,5.3,,
,,,,5.9,,
,4.75,,,,5.15,
,,,,,6.45,
,5.51,5.87,,5.56,5.64,
,5.1,,,,,
,5.45,6.1,,6.9,4.45,
,5.45,,,5.0,5.35,
,5.2,,,,,
,5.88,,,,,
,5.6,5.6,,7.2,,
,5.05,,,,5.35,
,4.9,5.0,,4.4,7.8,
,,,5.75,,,
,4.45,,,,,
,5.4,,,,4.85,
,,,,,5.5,
,4.5,4.75,,,,
,4.55,,,,4.95,
,,4.8,,4.8,4.9,
,,5.45,,,5.65,
,5.1,,,,,
,5.8,4.8,,5.1,5.35,
,4.4,,,,,
,,,,4.94,,
,6.01,,,,,
,5.599999999999999,5.5,,4.7,6.4,
,5.4,5.7,,4.75,4.85,
,4.859999999999999,,,,4.68,
,,,,6.5,,
,5.28,6.54,,6.07,5.58,
,4.9,4.8,,,4.8,
,5.5,5.1,,,5.05,
,5.6,4.6,,,,
,5.895,,,,4.92,
,4.695,,,,,
,,,,,4.8,
,4.23,,,,,
,6.7,,,,4.8,
,,,,5.5,,
,5.15,5.4,,5.05,,
,,,,,4.8,
,,5.3,,5.15,5.18,
,5.4,,,4.7,5.4,
,,5.3,,,,
,4.76,,,,,
,4.8,4.7,,4.4,5.25,
,5.05,4.8,,,4.55,
,,,,7.45,,
,,6.67,,,,
,5.0,4.9,,,,
,6.46,,,6.59,,
,5.64,,,,,
,,,4.82,,,
,5.599999999999999,4.8,,6.1,4.8,
,5.96,,,4.42,5.89,
,5.5,,,,,
,6.44,,,,,
,4.3133333333333335,,,,,
,5.7,,,,4.7,
,5.95,,,4.65,4.8,
,,,,,6.45,
,5.0,6.0,,4.5,,
,,5.7,,,,
,,5.65,,,5.65,
,5.0,4.6,,5.4,,
,5.68,,,,,
,,,,,5.75,
,5.1,,,,,
,5.05,5.35,,5.95,,
,,,,,4.6,
,4.64,,,,4.48,
,5.6,,,,,
,4.7,6.7,,,,
,,4.26,,,,
,4.9,5.4,,,6.8,
