OPENADMET_INCHIKEY,OPENADMET_CANONICAL_SMILES,LOG_CLint_HLM,CLint_HLM,LOG_CLint_RLM,CLint_RLM,LOG_CLint_MLM,CLint_MLM
MOPSJMVERRFXAX-HNNXBMFYSA-N,COCCOC1=CN=C2C=CC([C@H](C)N3N=NC4=C3C(=O)N(C3=CC=C(F)C(F)=C3)C=C4)=CC2=C1,2.1473671077937864,140.4,2.2764618041732443,189.0,2.5839578420864573,383.67
NNBYANZTLQEDDY-UHFFFAOYSA-N,CC1=NC=C(C2=NC3=C(NC4(C)CC4)N=C(NC4=CN(C5CC6(C5)CN(C)C6)N=C4)N=C3C=C2F)C=N1,1.1095785469043866,12.87,,,,
UAXPPQPDGOMVPD-LDFOQBSTSA-N,CCC(NC(=O)C1=CC=C(Cl)C=C1)[C@H]1[C@@H]2C[C@H](OC3=CC=NC4=CC=CC=C34)C[C@@H]21,2.499687082618404,316.0,2.9804578922761,956.0,,
YTTYYCAUZAPRNY-UHFFFAOYSA-N,CC(C)S(=O)(=O)C1=CC=CC=C1NC1=NC(NC2=CC3=NNC(NC(=O)CN4CCCC4)=C3C=C2)=NC=C1Cl,,,2.184180195347259,152.82000000000002,,
AWLUMUGHLSXLNA-UHFFFAOYSA-N,CC1=NC(=O)C2=C(C)N=C(C3=C(C4=CC=C(C(F)(F)F)C=C4)N(C)N=C3C)N2N1,1.2041199826559248,16.0,,,,
DKQOAOQZQUBSIZ-UHFFFAOYSA-N,CC(C)OC(=O)NC1CCCOC2=C(C3=CC=C(Cl)C=C3)N(C3=CC=CC=C3Cl)N=C21,1.1760912590556811,15.0,,,,
VRXFDHAGFYWGHT-UHFFFAOYSA-N,CCNCC1=CC(NC2=CC=NC3=CC(Cl)=CC=C23)=CC=C1O,,,0.534026106056135,3.42,1.634124451552187,43.065
YSZNYCUUEJLLGR-UHFFFAOYSA-N,COC(=O)C1C(CN2CCC(F)(F)C2)=NC(C2=NC=CS2)=NC1(C)C1=CC=C(F)C=C1,,,,,1.9493900066449128,89.0
HAKUBDUVAGUCGC-UHFFFAOYSA-N,CCCN(CC1CC1)C1=CC(C(=O)NC2=CC=C3NN=CC3=C2)=NC=N1,1.2986347831244356,19.89,2.0111473607757975,102.6,,
IPSMAKOQUQMHED-CZIZESTLSA-N,CCOC(=O)N1CC/C(=C2/C3=CC=C(Cl)C=C3CCC3=CC=CN=C23)C(O)C1,1.775756037844098,59.67,,,,
WVSOYXIIIWSZHL-UHFFFAOYSA-N,O=C1C(CC2=CNC3=CC=CC=C23)C2=NN=C(C3=CC=CC=C3)N2C2=CC=CC=C2N1CC(=O)N1CCCCC1CC1=CC=NC=C1,,,,,,
LJGRWCAMMHZPNE-LJQANCHMSA-N,C[C@@H](OC1=CC=CC2=NC=NC(NC3=CC=C4C(=C3)C=NN4CC3=CC=CC=N3)=C12)C(=O)N1CCCC1,1.9432471251378616,87.75,1.534026106056135,34.2,,
HPKQVHUQERTKKU-AWEZNQCLSA-N,CCC(=O)N[C@@H](C)C1=CC=C(NC(=O)N2CC(C3=CC=CN=C3)C2)C=C1,,,,,2.089661414467177,122.931
VVBQGRSQHMPSJW-VXGBXAGGSA-N,CC1=CC(CN2N=C(C(F)(F)F)C=C2Cl)=CC(=O)N1C[C@H]1C[C@@H]1C#N,0.3692158574101428,2.34,1.5976951859255124,39.6,,
HEWLFIQAUUHYHC-UHFFFAOYSA-N,NC1=NC=C2C=CC=C(OC3=CC(C4=CC=C(C(F)(F)F)C=C4)=NC=N3)C2=N1,,,1.8350561017201164,68.4,,
LAYLUHLVXZABOQ-QGZVFWFLSA-N,COC1=CC=C(CC(=O)N=C(N)N[C@H](CSC)C(=O)NC2=CC(S(N)(=O)=O)=CC=C2C)C=C1OC,2.3400274682826607,218.79,,,2.887197992555555,771.255
QSPSYONCWQHOSB-UHFFFAOYSA-N,CC1=CC=CC(C)=C1CNC1=CC(C2=CNC(=O)NC2=O)=CN2C(C)=C(C)N=C12,0.5305838596451177,3.393,1.8350561017201164,68.4,,
OKNJLYXHLNMFOI-GZMMTYOYSA-N,CN1C=NC(S(=O)(=O)N2N=C3CCCC[C@@H]3[C@@]2(O)C(F)(F)F)=C1,1.6433737066738228,43.992,,,2.0445182019182524,110.7945
CBVCZFGXHXORBI-PXQQMZJSSA-N,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CC=CN=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,1.697519937940786,49.833333333333336,,,,
ARCBKTZOKAIYLK-HNAYVOBHSA-N,CC1=CC([C@H](C)NC2=NC=CC(N3C(=O)OC[C@@H]3C(C)C)=N2)=NC=C1C1=CC=NC(C(F)(F)F)=C1,,,2.3521825181113627,225.0,,
WTOWWRBBMUWWAX-UHFFFAOYSA-N,CC1=NC2=CC=CC(C3=CC4=C(N3)C3(CC3)NC4=O)=C2N=C1NC(C)(C)C,1.6122539060964374,40.95,1.9712758487381052,93.6,,
