OPENADMET_INCHIKEY,OPENADMET_CANONICAL_SMILES,LOG_CLint_HLM,CLint_HLM,LOG_CLint_RLM,CLint_RLM,LOG_CLint_MLM,CLint_MLM
XXHPNGNGSXDBMK-UHFFFAOYSA-N,CN1N=CC2=CC(C3=CC=C(OCCN4CCOCC4)C=C3)=CC=C21,1.4756711883244296,29.9,,,2.4602963267574753,288.6
SMQZYWBKOHASSN-UHFFFAOYSA-N,CN(CCOC1=CC=C(C2=CC=C3C=CN=CC3=C2)C=C1)C1CCC1,1.4099331233312946,25.7,,,3.3618033589256875,2300.4
DAXGQXFVQUYVRY-UHFFFAOYSA-N,CC1=C(N)C(C2=CC=C(OCCN3CCCC3=O)C=C2)=CC2=CN=CC=C12,1.385606273598312,24.3,,,2.591287265058499,390.2
UEZJJVAJDJNXMQ-CQSZACIVSA-N,CC1=CN(C)C(=O)C2=C1C1=CC=C(OC[C@H]3CN(C)CCO3)C=C1N2,1.3692158574101427,23.4,,,2.5342800052050816,342.2
JEUZRQMZLPUKSV-NSHDSACASA-N,C[C@H](N)COC1=CC=C2C(=C1)C1=NC3=CN=CC=C3C=C1N2C,0.9493900066449128,8.9,,,2.477555332198981,300.3
RZMOYHIJQUQVQI-UHFFFAOYSA-N,CN1CCC(C2=CC=CC(NC3=CC=CC(C4=CC=CC(F)=C4)=N3)=C2)CC1,0.9084850188786496,8.1,,,2.4763968267253302,299.5
MXTHNLAVZWLDKB-UHFFFAOYSA-N,CN1C=NC(C2=CC3=CC(C(=O)NC4CCN(C5=CC=NC=C5F)CC4)=NN3C=C2)=C1,1.5877109650189114,38.7,,,1.4393326938302626,27.5
JLZFYAJPIXDVEW-UHFFFAOYSA-N,CC1=NN=C(C2=CN=C3C(=C2)C=C(C(=O)NC2CCN(C4=CC=CC=N4)CC2)N3C)S1,1.5092025223311027,32.3,,,1.9698816437465,93.3
SNZZVPGTGGBZQK-UHFFFAOYSA-N,O=C1C2=C(C=CN1CCCN1CCCCC1)C1=CC=CC(F)=C1N2,0.6627578316815741,4.6,,,1.9845273133437928,96.5
PMJZFVGMJMIKQE-UHFFFAOYSA-N,CN1C=C(C2=CN=CN=C2)C2=CC(OCC3CNC3)=CC=C21,0.7403626894942439,5.5,,,2.5052856741441323,320.1
ILDWUVOWUXLSHS-UHFFFAOYSA-N,CC(C)N1CC(OC2=CC=C(C3=CN4N=CC(C#N)=C4N=C3)C=C2)C1,0.568201724066995,3.7,,,1.1702617153949575,14.8
PADSQGXGXUVNLB-AWEZNQCLSA-N,CC(=O)N[C@@H](C)COC1=CC=C(N)C(C2=CC(C3=CC=NC=C3)=CC=N2)=C1,1.0253058652647702,10.6,,,2.527758752520972,337.1
JWAJYVULLNKYJU-INIZCTEOSA-N,C[C@@H](C1=CC=C(NC2=CC=CC(C3=CC=CC(F)=C3)=N2)N=C1)N1CCOCC1,1.6866362692622934,48.6,,,2.682686478249768,481.6
GTGUIPLNCXRPSM-UHFFFAOYSA-N,CN1CCN(C2=CC3=CC(C(=O)NC4CCN(C5=CC=NC=C5)CC4)=NN3C=C2)CC1,1.1335389083702174,13.6,,,0.041392685158225,1.1
GOJCRZIASUTKNG-UHFFFAOYSA-N,OC1CCN(CCOC2=CC=C(C3=CC=C4C=CN=CC4=C3)C=C2)CC1,0.9242792860618816,8.4,,,2.407900540142635,255.8
PMHKPBDCOVRIPX-UHFFFAOYSA-N,COC1=CC=C(OC2=NC=CC(N(CCC3=CC=NC=C3)C3CC3)=N2)C=C1,2.57611089412084,376.8,,,3.2797353674105016,1904.3
UZQRHBWIFKTPLQ-GFENJXEQSA-N,CC1=CC2=NNC(CN3C[C@H]4CC[C@@H](C3)[C@@H]4OC3=CN=CC(Cl)=C3)=C2C(Cl)=C1,1.4548448600085102,28.5,,,2.6837672614253116,482.8
XWKHYZORPXZZTG-ZSBFGKGUSA-N,ClC1=CN=CC(O[C@@H]2[C@@H]3CC[C@H]2CN(CC2=CN4C=CC=NC4=N2)C3)=C1,1.9390197764486663,86.9,,,3.2306277117106323,1700.7
HMKJUERXYKVBBA-UHFFFAOYSA-N,COC1CN(CC2=CC=C(N3CCN(C(=O)C4=C5C=CC=CN5C5=CC=CC=C45)CC3)C=C2)C1,2.3140779917792127,206.1,,,2.8773137433122384,753.9
GAGIKFNTBBZMDI-LBPRGKRZSA-N,CC1=C2C=CN=CC2=CC2=C1N(C)C1=CC=C(C(=O)N[C@@H](C)C(N)=O)C=C21,1.252853030979893,17.9,,,2.8890774926500637,774.6
BMTSHFDWZXMJLA-ZDUSSCGKSA-N,C[C@@H](COC1=CC=C2C(=C1)NC1=C2C=CN(C)C1=O)N1CCOCC1,1.1702617153949575,14.8,,,1.8802417758954804,75.9
YDLSXZPCTFVRRT-ZSHCYNCHSA-N,C1=CN(C2=CC=C3C(=C2)OCC2=NC(N[C@H]4C[C@H]5CC[C@@H](C4)N5)=CC=C32)N=C1,0.3222192947339193,2.1,,,1.3820170425748683,24.1
OPZDTHWKDWRARU-UHFFFAOYSA-N,CC1=NN=C(C2=CC3=CC(C(=O)NCCNC4=CC=NC=C4)=NN3C=C2)S1,0.3979400086720376,2.5,,,-0.3979400086720376,0.4
YCMAIFROQBPZNW-UHFFFAOYSA-N,CN1CCN(C2=CC=CC(NC3=CC=CC(C4=CC=CN=C4)=N3)=N2)C1=O,1.8506462351830664,70.9,,,2.6011905326153335,399.2
IQTUMISCBSSMML-UHFFFAOYSA-N,CN1C=CC(C2=NC=C(OCCN3CCCCC3)C=N2)=C(N)C1=O,0.3617278360175928,2.3,,,1.5352941200427703,34.3
IBBZIJRAEUCPHO-UHFFFAOYSA-N,FC1(F)CN(CCC2=CC=C(NC3=CC=CC(C4=CC=CN=C4)=N3)C=C2)C1,2.020775488193558,104.9,,,3.110522372601323,1289.8
OAXXBKQFLKEYOB-UHFFFAOYSA-N,CCC(=O)N1CCN(C(=O)C2=C(C3=CC=C4N=CSC4=C3)C=NN2)CC1,0.568201724066995,3.7,,,1.1139433523068367,13.0
LJHGSPIURMZMCH-UHFFFAOYSA-N,NC1=CC2=NC=CC=C2C=C1C1=CC=C(OCCN2CCCCC2)C=C1,0.6989700043360189,5.0,,,2.812646016233119,649.6
