OPENADMET_LOGAC50_cyp3a4,OPENADMET_LOGAC50_pxr,OPENADMET_LOGAC50_ahr
5.1,,
5.0,,
4.5,,
4.8,,
6.45,,
4.6,,
4.48,,
6.099999999999999,,
4.8,,
6.099999999999999,,
4.6,,
5.01,,
4.7,,
5.27,,
4.82,,
8.74,,
4.75,,
5.599999999999999,,
4.5,,
,6.52,
5.21,,
4.9,,
5.0,,
5.4,,
7.0,,
5.7,,
5.0,,
4.13,,
5.3,,
4.9,,
6.55,,
6.099999999999999,,
4.6,,
5.5,,
5.65,,
5.05,,
5.55,,
4.95,,
5.2,,
5.8,,
4.6,,
5.1,,
,,6.9
5.4,,
5.96,,
5.35,,
4.6,,
5.6,,
4.55,,
5.0,,
4.8,,
5.7,,
5.599999999999999,,
5.599999999999999,,
6.22,,
5.2,,
5.52,,
4.7,,
4.8,,
5.35,,
4.55,,
5.5,,
4.6,,
6.1,,
4.9,,
4.55,,
5.0,,
4.8,,
5.5,,
6.42,,
6.48,,
5.07,,
,6.42,
6.22,,
5.0,,
4.9,,
5.25,,
5.7,,
5.21,,
5.6,,
5.3,,
5.4,,
5.6,,
4.8,,
5.599999999999999,,
5.41,,
4.744999999999999,,
6.1,,
5.2,,
4.65,,
5.55,,
5.35,,
5.1,,
4.85,,
5.1,,
4.8,,
5.95,,
7.46,,
4.8,,
4.7,,
5.41,,
5.92,,
,,5.36
5.44,,
4.65,,
,5.1,
5.0,,
7.1,,
4.92,,
,7.85,
5.400000000000001,,
4.8,,
5.2,,
5.1,,
5.35,,
4.9,,
5.45,,
4.6,,
4.75,,
5.24,,
5.5,,
6.52,,
6.3,,
5.4,,
4.5,,
5.9,,
5.5,,
6.52,,
5.0,,
5.0,,
4.41,,
4.6,,
5.23,,
5.900000000000001,,
5.0,,
5.87,,
4.95,,
5.2,,
5.4,,
5.04,,
,,6.96
6.25,,
5.425,,
7.75,,
4.65,,
6.38,,
5.15,,
5.77,,
4.994999999999999,,
5.82,,
4.8,,
5.400000000000001,,
5.65,,
,,6.08
4.9,,
4.7,4.57,
5.5,,
4.55,,
5.2,,
5.5,,
4.82,,
5.35,,
4.5,,
4.95,,
4.65,,
,5.775,
4.85,,
5.5,,
,5.66,
5.400000000000001,,
,4.851999999999999,
4.9,,
5.8,,
5.5,,
4.4,,
5.2,,
4.6,,
4.8,,
4.7,,
4.7,,
5.75,,
5.65,,
4.24,,
4.8,,
5.400000000000001,,
4.85,,
5.47,,
5.7,,
4.85,,
5.4,,
5.17,,
4.85,,
4.95,,
6.44,,
4.6,,
5.1,,
4.95,,
5.31,,
5.3,,
5.37,,
5.2,,
4.75,,
4.4,,
5.82,,
4.95,,
5.0,,
5.85,,
4.8,,
4.9,,
6.2,,
5.3,,
6.45,,
8.26,,
4.6,,
6.82,,
5.05,,
4.8,,
4.5,,
4.693333333333333,,
6.0,,
4.6,,
,7.09,
