,OPENADMET_CANONICAL_SMILES,OPENADMET_INCHIKEY,assay_id_count,standard_value_mean,standard_value_median,standard_value_std,pchembl_value_mean,pchembl_value_median,pchembl_value_std,OPENADMET_ACTIVITY_TYPE,Target,OPENADMET_LOGAC50
2832,COC1=CC(NC(=O)C[C@@]2(C)C[C@H](C3=CC=CC(Cl)=C3)[C@@H](C3=CC=C(Cl)C=C3)N([C@H](CS(=O)(=O)C(C)(C)C)C3CC3)C2=O)=CC=C1C(=O)O,JVBGVXAXEZXWTE-MCUOQOIASA-N,1,0.0503,0.0503,,10.3,10.3,,IC50,CYP3A4,10.3
488,CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](C2=CC=CC(Cl)=C2)[C@H]1C1=CC=C(Cl)C=C1,HMKAZNCSHAJLSA-HIJQLYNKSA-N,1,0.0962,0.0962,,10.02,10.02,,IC50,CYP3A4,10.02
487,CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](C2=CC=CC(Cl)=C2)[C@H]1C1=CC=C(Cl)C(F)=C1,IHUMWHKQAVMWCV-HXZUPTHJSA-N,1,0.102,0.102,,9.99,9.99,,IC50,CYP3A4,9.99
823,CC(C)[C@@H]1COC[C@H](C2(OC(=O)N3CCNCC3)CC2)N1S(=O)(=O)C1=CC=C(Cl)C=C1,MELKFGZURAGNSX-RBUKOAKNSA-N,1,0.3,0.3,,9.52,9.52,,IC50,CYP3A4,9.52
2831,COC1=CC(NC(=O)C[C@@]2(C)C[C@H](C3=CC=CC(Cl)=C3)[C@@H](C3=CC=C(Cl)C(F)=C3)N([C@H](CS(=O)(=O)C(C)(C)C)C3CC3)C2=O)=CC=C1C(=O)O,QGOICCMBEDDFCI-NXQGQTBASA-N,1,0.33,0.33,,9.48,9.48,,IC50,CYP3A4,9.48
1116,CC1=CC(N2CCC(O)CC2)=CC2=C1N=C(C1=C(NC[C@@H](O)C3=CC=CC(Cl)=C3)C=CNC1=O)N2,MFFQPYYPGSJIDM-JOCHJYFZSA-N,1,0.4,0.4,,9.4,9.4,,IC50,CYP3A4,9.4
820,CC(C)[C@@H]1COC[C@H](C2(OC(=O)N3CC4CCC(C3)N4)CC2)N1S(=O)(=O)C1=CC=C(Cl)C=C1,SEUYCXXZPFOTNT-RRIIRSAJSA-N,1,0.5,0.5,,9.3,9.3,,IC50,CYP3A4,9.3
890,CC1([C@@H]2COC[C@H](COC(=O)N3CCN(C(C)(C)CO)CC3)N2S(=O)(=O)C2=CC=C(Cl)C=C2)CC1,MBQIBPDSTIZHQM-CTNGQTDRSA-N,1,0.5,0.5,,9.3,9.3,,IC50,CYP3A4,9.3
985,CC1=C2N=C(C3=C(NC[C@@H](O)C4=CC=CC(Cl)=C4)C=CNC3=O)NC2=CC(N2CCC(N3C[C@@H]4C[C@@H]3CO4)CC2)=C1,LVOHHKIFPDWJJY-ONBPZOJHSA-N,1,0.5,0.5,,9.3,9.3,,IC50,CYP3A4,9.3
2718,COC(=O)NC1CCN(C2=CC(C)=C3NC(C4=C(NC[C@@H](O)C5=CC=CC(Cl)=C5)C=CNC4=O)=NC3=C2)CC1,VZGOJYYBQQYRJE-HSZRJFAPSA-N,1,0.5,0.5,,9.3,9.3,,IC50,CYP3A4,9.3
1118,CC1=CC(N2CCC3(CC2)OCCO3)=CC2=C1N=C(C1=C(NC[C@@H](O)C3=CC=CC(Cl)=C3)C=CNC1=O)N2,OQEBLEZRSCIFJK-HSZRJFAPSA-N,1,0.7,0.7,,9.15,9.15,,IC50,CYP3A4,9.15
1114,CC1=CC(N2CCC(NC(=O)C3CC3)CC2)=CC2=C1N=C(C1=C(NC[C@@H](O)C3=CC=CC(Cl)=C3)C=CNC1=O)N2,KCSXXVMVRJMJFA-RUZDIDTESA-N,1,0.7,0.7,,9.15,9.15,,IC50,CYP3A4,9.15
4533,O=C(OC1([C@H]2COC[C@@H](CC3CC3)N2S(=O)(=O)C2=CC=C(Cl)C=C2)CC1)N1CC2CCC(C1)N2,VZTDQEWJIVUVPC-FLQRSKGTSA-N,1,0.8,0.8,,9.1,9.1,,IC50,CYP3A4,9.1
336,CC(=O)N1CCN(C2CCN(C3=CC(C)=C4NC(C5=C(NC[C@@H](O)C6=CC=CC(Cl)=C6)C=CNC5=O)=NC4=C3)CC2)CC1,NKJTYXXPGXIGTL-MUUNZHRXSA-N,1,0.8,0.8,,9.1,9.1,,IC50,CYP3A4,9.1
3375,COCCOC1CCN(C2=CC(C)=C3NC(C4=C(NC[C@@H](O)C5=CC=CC(Cl)=C5)C=CNC4=O)=NC3=C2)CC1,OCNLJCSEDBMGNF-RUZDIDTESA-N,1,0.9,0.9,,9.05,9.05,,IC50,CYP3A4,9.05
784,CC(C)NC1=CC(NC2=CC=C3N=CSC3=C2)=NC=C1C(=O)NCCC1=CC=C(S(N)(=O)=O)C=C1,DWDATRBHPMAHRD-UHFFFAOYSA-N,1,0.9,0.9,,9.05,9.05,,IC50,CYP3A4,9.05
