OPENADMET_CANONICAL_SMILES,OPENADMET_INCHIKEY,assay_id_count,standard_value_mean,standard_value_median,standard_value_std,pchembl_value_mean,pchembl_value_median,pchembl_value_std,OPENADMET_ACTIVITY_TYPE,Target,OPENADMET_LOGAC50
CC(=O)N1CCN(C2=CC=C(OCC3COC(CN4C=CN=C4)(C4=CC=C(Cl)C=C4Cl)O3)C=C2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,69,2733.243333333333,57.0,13530.80549802959,7.088550724637681,7.24,0.8968281941872552,IC50,CYP3A4,7.088550724637681
CC(=O)N1CCN(C2=CC=C(OC[C@H]3CO[C@](CN4C=CN=C4)(C4=CC=C(Cl)C=C4Cl)O3)C=C2)CC1,XMAYWYJOQHXEEK-OZXSUGGESA-N,51,491.52313725490194,55.1,2977.1860384500596,7.256470588235294,7.26,0.5645912628775325,IC50,CYP3A4,7.256470588235294
CCOC1=CC=C(N2C([C@@H](C)N(CC3=CC=CN=C3)C(=O)CC3=CC=C(OC(F)(F)F)C=C3)=NC3=NC=CC=C3C2=O)C=C1,WQTKNBPCJKRYPA-OAQYLSRUSA-N,16,15625.0,14600.0,10297.281194567817,4.9275,4.87,0.36534002426962947,IC50,CYP3A4,4.9275
COC1=CC=C([C@@H]2SC3=CC=CC=C3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)C=C1,HSUGRBWQSSZJOP-RTWAWAEBSA-N,11,29885.14545454545,12000.0,35187.81322038537,5.112727272727273,4.92,1.0606044588732495,IC50,CYP3A4,5.112727272727273
ClC1=CC=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C(Cl)=C1,BYBLEWFAAKGYCD-UHFFFAOYSA-N,10,2205.634,850.5699999999999,2423.1896454430102,6.322,6.07,1.191281289667185,IC50,CYP3A4,6.322
OC(CN1C=NC=N1)(CN1C=NC=N1)C1=CC=C(F)C=C1F,RFHAOTPXVQNOHP-UHFFFAOYSA-N,8,17746.65625,16984.9,9689.267696766265,4.8149999999999995,4.8100000000000005,0.25651510676761335,IC50,CYP3A4,4.8149999999999995
CC(C)C1=NC(CN(C)C(=O)N[C@H](C(=O)N[C@@H](CC2=CC=CC=C2)C[C@H](O)[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)C(C)C)=CS1,NCDNCNXCDXHOMX-XGKFQTDJSA-N,8,154.5,105.0,175.94398459249953,7.04125,6.98,0.4939762140022534,IC50,CYP3A4,7.04125
COC1=CC=C(CCN(C)CCCC(C#N)(C2=CC=C(OC)C(OC)=C2)C(C)C)C=C1OC,SGTNSNPWRIOYBX-UHFFFAOYSA-N,8,18195.82875,10096.5,24385.855453878787,5.26,5.005,1.1555827225133768,IC50,CYP3A4,5.26
CCC(C)N1N=CN(C2=CC=C(N3CCN(C4=CC=C(OCC5COC(CN6C=NC=N6)(C6=CC=C(Cl)C=C6Cl)O5)C=C4)CC3)C=C2)C1=O,VHVPQPYKVGDNFY-UHFFFAOYSA-N,7,260.8,50.4,373.06147840090193,7.007142857142857,7.3,0.6276334993639278,IC50,CYP3A4,7.007142857142857
ClC1=CC=CC=C1C(C1=CC=CC=C1)(C1=CC=CC=C1)N1C=CN=C1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,6,83.83333333333333,50.0,107.68178428437497,7.298333333333333,7.3,0.45503479720419926,IC50,CYP3A4,7.298333333333333
CNC(=O)C1=C2COC3=C(CCN4CCN(C5=CC=CC6=NC(C)=CC=C56)CC4)C=CC=C3N2C=N1,APQBIBMHRHYQIJ-UHFFFAOYSA-N,6,36500.0,14500.0,43056.939045872736,4.781666666666666,4.89,0.6348044318265796,IC50,CYP3A4,4.781666666666666
NCC1=CC=C(C2=CC=CN=C2)S1,JHLIGYPHPBLDDL-UHFFFAOYSA-N,6,54323.333333333336,58700.0,20602.864525756282,4.308333333333334,4.23,0.2506325331369943,IC50,CYP3A4,4.308333333333334
CC1=CC=C2C(N3CCN(CCC4=CC=CC5=C4OCC4=C(C(N)=O)N=CN54)CC3)=CC=CC2=N1,HLQJZFFWUXHYMB-UHFFFAOYSA-N,6,91500.0,100000.0,15693.947878083449,4.045,4.0,0.08432081593533126,IC50,CYP3A4,4.045
C[C@H](NC(=O)/C=C/C1=CC=CC=C1)C1=CC=CC(N2CCOCC2)=C1,QMIMHUDEVKGOTQ-DVQDXYAYSA-N,6,52666.666666666664,47500.0,29984.440409430135,4.343333333333334,4.345000000000001,0.2617377822681831,IC50,CYP3A4,4.343333333333334
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(C3=CC=CN=C3)=CC[C@@H]12,GZOSMCIZMLWJML-VJLLXTKPSA-N,6,2289.6666666666665,2700.0,1009.0283775328952,5.748333333333334,5.57,0.4368256707963332,IC50,CYP3A4,5.748333333333334
CC1=CC(N2CCOCC2)=CC2=C1N=C(C1=C(NC[C@@H](O)C3=CC=CC(Cl)=C3)C=CNC1=O)N2,ZWVZORIKUNOTCS-OAQYLSRUSA-N,6,2025.0,500.0,2542.7839074526173,6.126666666666666,6.3,0.7616473374644374,IC50,CYP3A4,6.126666666666666
CC[C@@H]([C@H](C)O)N1N=CN(C2=CC=C(N3CCN(C4=CC=C(OC[C@@H]5CO[C@@](CN6C=NC=N6)(C6=CC=C(F)C=C6F)C5)C=C4)CC3)C=C2)C1=O,RAGOYPUPXAKGKH-XAKZXMRKSA-N,6,229.85,116.0,242.72670846035876,6.826666666666667,6.955,0.4347719708843551,IC50,CYP3A4,6.826666666666667
CCCCC[C@H](O)CC(=O)CCC1=CC=C(O)C(OC)=C1,NLDDIKRKFXEWBK-AWEZNQCLSA-N,5,41500.0,37400.0,19459.70195044107,4.418,4.43,0.19408760908414557,IC50,CYP3A4,4.418
CC(C)(C)NC(=O)[C@@H]1CN(CC2=CC=CN=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,CBVCZFGXHXORBI-PXQQMZJSSA-N,5,200.0,150.0,111.80339887498948,6.736,6.82,0.18782971010998223,IC50,CYP3A4,6.736
CC1=CC(/C=C/C#N)=CC(C)=C1NC1=CC=NC(NC2=CC=C(C#N)C=C2)=N1,YIBOMRUWOWDFLG-ONEGZZNKSA-N,5,2170.0,2170.0,0.0,5.66,5.66,0.0,IC50,CYP3A4,5.66
CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,LQCLVBQBTUVCEQ-QTFUVMRISA-N,5,27599.667999999998,20000.0,20744.065863545653,4.6579999999999995,4.7,0.3352909184573894,IC50,CYP3A4,4.6579999999999995
O[C@@H](C1=CC(C(F)(F)F)=NC2=C(C(F)(F)F)C=CC=C12)[C@H]1CCCCN1,XEEQGYMUWCZPDN-DOMZBBRYSA-N,5,20133.4,19000.0,12724.738810678984,4.93,4.72,0.7088018058667739,IC50,CYP3A4,4.93
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1C1=CC=CC=C1[N+](=O)[O-],OSUCQKNXQBPLDG-UHFFFAOYSA-N,4,18402.3525,10500.0,19200.71823319009,4.885,4.98,0.3916205646626166,IC50,CYP3A4,4.885
O=C(C(C1=CC=C(Cl)C=C1)C1=CC=CN=C1)N1CCN(C2=CC=C(C(F)(F)F)C=C2)CC1,OJFZYAQGMWSUID-UHFFFAOYSA-N,4,11150.0,11700.0,8463.844674063123,5.1375,4.965,0.5530747387710512,IC50,CYP3A4,5.1375
C1=CC=C(C2=CNC=N2)C=C1,XHLKOHSAWQPOFO-UHFFFAOYSA-N,4,30150.0,30150.0,33082.17042456556,5.025,5.025,0.9179869280115048,IC50,CYP3A4,5.025
CCC1=CC=CC(C)=C1CNC1=CC(C(N)=O)=CN2C(C)=C(C)N=C12,IDSZXCFCCNVXER-UHFFFAOYSA-N,4,3850.0,3850.0,57.735026918962575,5.415,5.415,0.005773502691896135,IC50,CYP3A4,5.415
C1=CC=C(N2C=CN=C2)C=C1,SEULWJSKCVACTH-UHFFFAOYSA-N,4,26750.0,26750.0,29733.538863265727,5.140000000000001,5.140000000000001,0.993042463006156,IC50,CYP3A4,5.140000000000001
CCOC(=O)CCCN1C(=O)N=C2C(=CC3=CC=CC=C3N2CCCCOC(=O)CC2=C3CC(=O)CC[C@]3(C)C3CCC4C(CC[C@@H]4O)C3C2)C1=O,GADLWMUCLGAXRS-UYUAJUSRSA-N,4,2175.0,1800.0,1454.5904349105742,5.7375,5.779999999999999,0.2933001875212495,IC50,CYP3A4,5.7375
COC1=CC=C2C(OCC3=NN=C4C=CC(C5=CC(F)=C(F)C(F)=C5)=NN34)=CC=NC2=C1,MLHUEVZLHPFKKC-UHFFFAOYSA-N,4,15500.0,15500.0,15588.457268119895,5.12,5.12,0.6697263122599659,IC50,CYP3A4,5.12
